"time","pose_x","pose_y","pose_z","pose_roll","pose_pitch","pose_yaw"
0,0,0,1,0,0,1.5707963267949
0.1,0,0.83,1,0,0,1.5707963267949
0.2,0,1.66,1,0,0,1.5707963267949
0.3,0,2.49,1,0,0,1.5707963267949
0.4,0,3.32,1,0,0,1.5707963267949
0.5,0,4.15,1,,0,1.5707963267949
0.6,0,4.98,1,0,0,1.5707963267949
0.7,0,5.81,1,0,0,1.5707963267949
0.8,0,6.64,1,0,0,1.5707963267949
0.9,0,7.47,1,0,0,1.5707963267949
1,0,8.3,1,0,0,1.5707963267949
1.1,0,9.13,1,0,0,1.5707963267949
1.2,0,9.96,1,0,0,1.5707963267949
1.3,0,10.79,1,0,0,1.5707963267949
1.4,0,11.62,1,0,0,1.5707963267949
1.5,0,12.45,1,0,0,1.5707963267949
1.6,0,13.28,1,0,0,1.5707963267949
1.7,0,14.11,1,0,0,1.5707963267949
1.8,0,14.94,1,0,0,1.5707963267949
1.9,0,15.77,1,0,0,1.5707963267949
2,0,16.6,1,0,0,1.5707963267949
2.1,0,17.43,1,0,0,1.5707963267949
2.2,0,18.26,1,0,0,1.5707963267949
2.3,0,19.09,1,0,0,1.5707963267949
2.4,0,19.92,1,0,0,1.5707963267949
2.5,0,20.75,1,0,0,1.5707963267949
2.6,0,21.58,1,0,0,1.5707963267949
2.7,0,22.41,1,0,0,1.5707963267949
2.8,0,23.24,1,0,0,1.5707963267949
2.9,0,24.07,1,0,0,1.5707963267949
3,0,24.9,1,0,0,1.5707963267949
3.1,0,25.73,1,0,0,1.5707963267949
3.2,0,26.56,1,0,0,1.5707963267949
3.3,0,27.39,1,0,0,1.5707963267949
3.4,0,28.22,1,0,0,1.5707963267949
3.5,0,29.05,1,0,0,1.5707963267949
3.6,0,29.88,1,0,0,1.5707963267949
3.7,0,30.71,1,0,0,1.5707963267949
3.8,0,31.54,1,0,0,1.5707963267949
3.9,0,32.37,1,0,0,1.5707963267949
4,0,33.2,1,0,0,1.5707963267949
4.1,0,34.03,1,0,0,1.5707963267949
